"run_id","plate_id","trt","poiss_zp","nc_lambdahat","nc_upperqi","pc_lambdahat","pc_lowerqi"
"SC1","SC1-Plate1","poscon",0.13,4.2,11.02,29.86,14.3
"SC10","SC10-Plate1","poscon",0.31,15.89,28.58,69.79,45.45
"SC10","SC10-Plate2","poscon",0.28,14.88,27.19,64.36,41.02
"SC12","SC12-Plate1","poscon",0.67,57.28,80.76,276.56,227.17
"SC12","SC12-Plate2","poscon",0.64,82.76,110.84,303.03,251.28
"SC12","SC12-Plate3","poscon",0.66,72.15,98.42,301.25,250
"SC15","SC15-Plate1","poscon",0.43,4.39,11.35,53.76,32.52
"SC15","SC15-Plate2","poscon",0.35,7.03,15.68,52.72,31.7
"SC16","SC16-Plate1","poscon",0.47,13.23,24.87,86.65,59.42
"SC16","SC16-Plate2","poscon",0.43,15.96,28.68,85.9,58.79
"SC17","SC17-Plate1","poscon",0.61,11.19,21.95,120.08,88
"SC17","SC17-Plate2","poscon",0.57,12.11,23.28,111.04,80.09
"SC17","SC17-Plate3","poscon",0.6,11.84,22.88,119.22,87.11
"SC18","SC18-Plate3","poscon",0.43,5.12,12.58,57.07,35.16
"SC19","SC19-Plate1","poscon",0.28,2.63,8.12,33.22,16.74
"SC2","SC2-Plate1","poscon",0.4,5.31,12.91,53.45,32.28
"SC2","SC2-Plate2","poscon",0.18,7.62,16.6,41.3,22.81
"SC20","SC20-Plate1","poscon",0.38,34.24,52.55,114.14,82.75
"SC20","SC20-Plate2","poscon",0.35,37.25,56.33,114.24,83
"SC20","SC20-Plate3","poscon",0.4,39.39,58.99,127.94,94.64
"SC20","SC20-Plate4","poscon",0.39,46.4,67.61,137.11,102.61
"SC20","SC20-Plate5","poscon",0.36,44.12,64.82,128.07,94.76
"SC3","SC3-Plate1","poscon",0.35,5.29,12.88,47.6,27.67
"SC3","SC3-Plate3","poscon",0.22,6.64,15.07,40.88,22.49
"SC3","SC3-Plate4","poscon",0.08,7.85,16.97,36.51,19.19
"SC4","SC4-Plate1","poscon",0.34,6.67,15.11,50.47,30
"SC4","SC4-Plate2","poscon",0.25,8.44,17.87,47.34,27.47
"SC5","SC5-Plate1","poscon",0.41,3.07,8.97,46.02,26.45
"SC5","SC5-Plate2","poscon",0.41,2.9,8.64,46.22,26.6
"SC6","SC6-Plate1","poscon",0.25,10.65,21.15,52.7,31.68
"SC6","SC6-Plate2","poscon",0.14,10.5,20.94,44.9,25.58
"SC7","SC7-Plate1","poscon",0.39,6.31,14.53,54.45,33.07
"SC7","SC7-Plate2","poscon",0.31,7.91,17.06,51.61,30.82
"SC7","SC7-Plate3","poscon",0.37,7.08,15.76,54.85,33.39
"SC9","SC9-Plate1","poscon",0.57,19.91,34.04,131.43,97.67
"SC9","SC9-Plate2","poscon",0.6,24.72,40.39,153.44,117
"SC9","SC9-Plate3","poscon",0.59,18.54,32.2,136.51,102.09
